conc,R0,R2,R3,note
15.75,,0.907126845,,raw
15.75,,0.832132151,,raw
16,,0.794481975,,raw
16,,0.964336163,,raw
16,,0.923637965,,raw
16,,0.947015633,,raw
16,,0.81083917,,raw
16,,0.824372601,,raw
16,,0.803099415,,raw
16,,0.855744297,,raw
16,,0.764282391,,raw
16,,0.814459831,,raw
16,,0.688290793,,raw
16,,0.933074596,,raw
16,,0.795704099,,raw
16,,0.799494675,,raw
16,,0.774324323,,raw
16,,0.808180469,,raw
16,,0.838427387,,raw
16,,0.850806433,,raw
16,,0.90866607,,raw
16,,0.812289141,,raw
16,,0.867861642,,raw
17,,0.959549379,,raw
17,,0.967920364,,raw
17,,0.971010697,,raw
17,,0.973640441,,raw
17,,0.974416717,,raw
14,,,0.21149722,raw
14,,,0.12506067,raw
14,,,0.181474334,raw
14,,,0.165944901,raw
14,,,0.119562469,raw
14,,,0.158452362,raw
14,,,0.157735721,raw
14,,,0.157939362,raw
14,,,0.155415113,raw
14,,,0.160322398,raw
14,,,0.10600152,raw
14,,,0.092058388,raw
14,,,0.203546883,raw
14.5,,,0.419820244,raw
14.5,,,0.374771755,raw
14.5,,,0.367021629,raw
14.5,,,0.375817273,raw
14.5,,,0.40187347,raw
14.5,,,0.371070366,raw
14.5,,,0.499993743,raw
14.5,,,0.396459626,raw
14.5,,,0.38854936,raw
14.5,,,0.365718051,raw
14.75,,,0.41592762,raw
14.75,,,0.542249869,raw
14.75,,,0.53393423,raw
14.75,,,0.558356201,raw
14.75,,,0.470075499,raw
14.75,,,0.506735042,raw
14.75,,,0.546823045,raw
14.75,,,0.489167307,raw
14.75,,,0.581875691,raw
14.75,,,0.380797993,raw
14.75,,,0.413883001,raw
14.75,,,0.428420389,raw
14.75,,,0.398398566,raw
14.75,,,0.444596731,raw
14.75,,,0.426829702,raw
14.75,,,0.545182894,raw
14.75,,,0.527394553,raw
14.75,,,0.625173622,raw
15,,,0.401309872,raw
15,,,0.627108326,raw
15,,,0.495162619,raw
15,,,0.48297108,raw
15,,,0.301219143,raw
15,,,0.393337738,raw
15,,,0.402230466,raw
15,,,0.547350188,raw
15,,,0.333431623,raw
15,,,0.375306054,raw
15,,,0.257196286,raw
15,,,0.549131136,raw
15.25,,,0.624608923,raw
15.25,,,0.65929705,raw
15.25,,,0.819534743,raw
15.25,,,0.755247445,raw
15.25,,,0.831068444,raw
15.25,,,0.771408175,raw
15.25,,,0.607494928,raw
15.25,,,0.645283792,raw
15.25,,,0.58833327,raw
15.25,,,0.70427181,raw
15.25,,,0.619147332,raw
15.25,,,0.504137392,raw
15.25,,,0.755464764,raw
15.25,,,0.627149844,raw
15.25,,,0.72476876,raw
15.25,,,0.852777921,raw
15.25,,,0.608396723,raw
15.5,,,0.7878608,raw
15.5,,,0.752508638,raw
15.5,,,0.903769565,raw
