Slice,Mean
457,100.0588
458,102.1231
459,103.6502
460,102.8863
461,102.9503
462,103.7824
463,101.6980
464,101.6798
465,101.2719
466,104.2771
467,103.7066
468,102.3516
469,101.3582
470,101.4096
471,101.2866
472,101.9698
473,102.0782
474,101.6785
475,101.8618
476,101.8265
477,101.5455
478,100.7627
479,102.3731
480,101.9890
481,101.5424
482,101.3442
483,101.3052
484,101.2385
485,101.2565
486,101.1312
487,101.2110
488,101.0149
489,101.0664
490,101.1228
491,101.6963
492,101.7516
493,101.8021
494,101.6692
495,100.9812
496,101.0939
497,101.5942
498,102.7746
499,101.6229
500,101.7235
501,101.3955
502,102.4590
503,101.6750
504,101.0423
505,100.8724
506,101.0209
507,101.8303
508,101.7639
509,102.7880
510,102.7616
511,102.0057
512,100.7991
513,100.8881
514,100.7603
515,100.4405
516,100.5393
517,100.9908
518,100.8370
519,101.0117
520,101.1603
521,102.3294
522,101.4159
523,101.1518
524,101.9350
525,102.3381
526,101.9008
527,102.0893
528,101.7044
529,101.4715
530,101.4573
531,101.3993
532,101.4091
533,100.7256
534,101.5865
535,101.0708
536,101.1305
537,101.9190
538,102.8404
539,102.3926
540,102.2729
541,101.8163
542,102.0764
543,100.9013
544,102.2994
545,103.8132
546,102.5533
547,101.2915
548,102.2031
549,101.9570
550,100.2718
551,100.2726
552,101.1335
553,101.3831
554,102.1415
555,101.6989
556,101.8331
557,102.1936
558,101.4479
559,102.0430
560,101.9539
561,100.3098
562,99.5829
563,100.9139
564,101.6121
565,102.2107
566,101.9463
567,103.4477
568,102.4236
569,101.0376
570,102.6209
571,100.1322
572,101.7634
573,100.3468
574,99.8000
575,101.1036
576,100.5519
577,101.6451
578,104.5702
579,103.0273
580,104.2371
581,103.9933
582,103.6465
583,103.3735
584,103.3624
585,105.8946
586,105.1303
587,107.0565
588,107.5921
589,107.0005
590,106.5237
591,106.5861
592,106.7472
593,106.4412
594,107.6388
595,106.1146
596,106.5835
597,107.5574
598,108.2493
599,108.7023
600,109.3434
601,111.3723
602,110.7795
603,111.5673
604,112.3575
605,113.1405
606,115.5545
607,113.6470
608,115.2235
609,113.4698
610,113.9560
611,114.3164
612,114.7180
613,115.4538
614,115.8450
615,117.2489
616,117.4954
617,117.8034
618,118.4319
619,118.2472
620,119.0567
621,118.0911
622,118.9765
623,119.1040
624,119.1651
625,120.9898
626,120.0027
627,121.0438
628,120.4238
629,120.9428
630,120.6643
631,121.1880
632,123.0033
633,125.1495
634,120.2865
635,121.0105
636,122.9558
637,122.5535
638,123.4910
639,124.7681
640,124.7209
641,123.8353
642,124.2346
643,121.6208
644,123.3943
645,124.8479
646,124.8690
647,124.5322
648,123.6405
649,125.0795
650,125.1590
651,124.5345
652,122.5119
653,122.5447
654,124.0867
655,123.8082
656,124.2420
657,124.2701
658,124.1116
659,124.3695
660,124.4824
661,123.8636
662,124.1600
663,124.6116
664,123.9766
665,122.3233
666,122.6239
667,123.7246
668,124.4060
669,121.8551
670,122.4271
671,122.4145
672,122.4682
673,122.0464
674,122.2891
675,123.1484
676,122.5749
677,122.9479
678,122.9179
679,122.8099
680,122.8297
681,123.5415
682,123.3414
683,123.2425
684,123.3875
685,123.7258
686,122.9944
687,123.1894
688,123.1414
689,122.4478
690,122.4065
691,123.0492
692,121.9590
693,121.5040
694,121.0988
695,120.4848
696,121.1314
697,128.5975
698,129.9654
699,128.6716
700,130.0952
701,134.4106
702,135.8244
703,139.8175
704,148.3544
705,152.4799
706,156.7404
707,156.8490
708,156.2007
709,156.2236
710,156.2334
711,155.9127
712,155.7028
713,155.7085
714,155.5464
715,155.6862
716,155.0663
717,155.9517
718,157.1781
719,158.8043
720,158.7085
721,159.4784
722,157.9768
723,157.0582
724,156.7620
725,155.5545
726,155.4849
727,157.1852
728,155.5519
729,155.1135
