Slice,Mean
533,52.468
534,54.908
535,52.836
536,52.884
537,54.694
538,59.510
539,58.985
540,57.454
541,55.437
542,58.564
543,56.992
544,56.389
545,62.200
546,58.350
547,58.426
548,56.943
549,62.001
550,56.711
551,54.351
552,56.162
553,59.522
554,57.621
555,56.198
556,56.610
557,56.064
558,55.909
559,57.340
560,57.225
561,57.171
562,54.470
563,54.030
564,53.459
565,53.175
566,53.471
567,63.014
568,60.264
569,56.264
570,60.594
571,56.251
572,56.922
573,52.875
574,52.628
575,53.617
576,53.063
577,53.715
578,64.812
579,63.397
580,58.490
581,57.261
582,57.090
583,57.246
584,57.633
585,64.522
586,64.397
587,63.291
588,61.241
589,59.549
590,58.904
591,56.668
592,57.718
593,58.135
594,56.829
595,56.086
596,56.458
597,57.112
598,57.396
599,57.792
600,59.084
601,68.719
602,65.961
603,65.267
604,60.319
605,65.453
606,67.454
607,65.258
608,68.728
609,63.118
610,62.563
611,60.782
612,60.350
613,62.121
614,62.192
615,61.601
616,62.148
617,63.173
618,64.751
619,64.407
620,62.890
621,62.293
622,65.833
623,65.581
624,64.780
625,66.859
626,66.791
627,68.235
628,67.014
629,65.939
630,66.204
631,65.815
632,70.268
633,72.090
634,65.464
635,66.014
636,69.254
637,69.719
638,71.928
639,71.746
640,71.501
641,70.085
642,71.699
643,70.271
644,70.488
645,72.887
646,72.835
647,71.399
648,69.272
649,70.245
650,70.295
651,69.514
652,68.345
653,67.971
654,69.390
655,68.809
656,69.830
657,69.473
658,69.366
659,68.960
660,69.248
661,68.860
662,69.431
663,70.685
664,73.115
665,68.730
666,69.395
667,68.773
668,70.566
669,65.573
670,65.975
671,65.895
672,66.158
673,66.339
674,66.827
675,70.029
676,68.858
677,68.321
678,68.366
679,68.071
680,67.107
681,68.050
682,67.966
683,69.305
684,69.608
685,72.364
686,71.236
687,68.923
688,68.615
689,68.060
690,68.021
691,68.186
692,68.175
693,68.349
694,67.322
695,67.744
696,69.391
697,101.791
698,82.023
699,75.589
700,80.152
701,84.717
702,85.745
703,92.140
704,105.175
705,111.370
706,117.610
707,118.933
708,120.314
709,127.628
710,127.673
711,127.374
712,127.223
713,125.718
714,125.671
715,125.920
716,125.182
717,123.479
718,123.831
719,126.918
720,126.767
721,127.311
722,124.345
723,123.412
724,123.043
725,119.411
726,119.338
727,122.198
728,121.773
729,120.746
730,129.103
731,127.498
732,120.415
733,120.456
734,118.452
735,111.890
736,122.721
737,126.815
738,125.297
739,121.350
740,119.904
741,122.880
742,123.436
743,122.798
744,120.373
745,124.140
746,122.337
747,121.392
748,118.502
749,118.174
750,124.219
751,123.683
752,122.241
753,116.818
754,114.490
755,123.060
756,98.293
757,96.561
758,111.838
759,116.381
760,118.323
761,120.403
762,124.391
763,123.674
764,120.867
765,125.548
766,128.777
767,129.784
768,130.325
769,139.976
770,140.915
771,143.794
772,153.138
773,149.392
774,142.298
775,139.245
776,143.615
777,144.838
778,143.380
779,139.515
780,133.949
781,132.436
782,138.242
783,138.214
784,140.804
785,145.936
786,136.673
787,134.381
788,133.430
789,136.709
790,135.095
791,138.808
792,138.667
793,136.889
794,138.780
795,137.789
796,138.638
797,138.306
798,135.673
799,135.549
800,134.467
801,135.002
802,135.193
803,137.364
804,137.030
805,137.333
806,136.718
807,136.377
808,140.064
809,135.511
810,135.476
811,132.716
812,131.664
813,131.711
814,130.946
815,134.852
816,130.987
817,129.455
818,129.749
819,131.669
820,134.124
821,129.717
822,129.970
