Group,Experiment,SourceReplicate,FieldWithinExperiment,SourceSheet,SourceGroupLabel,SourceValueCell,CellRecovery_pct,AssignmentBasis
Spray control,2,3,6,Cell Viability Data,Group2_10X_0006_GFP,I19,88.2560394992065,"Spray control in source workbook"
Spray control,2,3,7,Cell Viability Data,Group2_10X_0007_GFP,I20,110.650678892612,"Spray control in source workbook"
Spray control,2,3,8,Cell Viability Data,Group2_10X_0008_GFP,I21,88.3442073708341,"Spray control in source workbook"
Spray control,2,3,9,Cell Viability Data,Group2_10X_0009_GFP,I22,93.1934403103509,"Spray control in source workbook"
Spray control,2,3,10,Cell Viability Data,Group2_10X_0010_GFP,I23,84.7293246341033,"Spray control in source workbook"
Spray control,3,4,1,Cell Viability Data,Group2_Spray_10X_0001_GFP,L12,95.6640803286171,"Spray control in source workbook"
Spray control,3,4,2,Cell Viability Data,Group2_Spray_10X_0002_GFP,L13,49.8402555910543,"Spray control in source workbook"
Spray control,3,4,3,Cell Viability Data,Group2_Spray_10X_0003_GFP,L14,109.539023277042,"Spray control in source workbook"
Spray control,3,4,4,Cell Viability Data,Group2_Spray_10X_0004_GFP,L15,96.9420356001826,"Spray control in source workbook"
Spray control,3,4,5,Cell Viability Data,Group2_Spray_10X_0005_GFP,L16,112.460063897764,"Spray control in source workbook"
Spray control,3,4,6,Cell Viability Data,Group2_Spray_10X_0006_GFP,L17,98.2199908717481,"Spray control in source workbook"
Spray control,3,4,7,Cell Viability Data,Group2_Spray_10X_0007_GFP,L18,68.0967594705614,"Spray control in source workbook"
Spray control,3,4,8,Cell Viability Data,Group2_Spray_10X_0008_GFP,L19,96.3943404837974,"Spray control in source workbook"
Cryoaerosolization + Rewarming,1,2,1,Cell Viability Data,Low CPA Spray Rewarm_10X_0001_GFP,F33,117.857142857143,"Cryoaerosolization group in source workbook"
Cryoaerosolization + Rewarming,1,2,2,Cell Viability Data,Low CPA Spray Rewarm_10X_0002_GFP,F34,60.2040816326531,"Cryoaerosolization group in source workbook"
Cryoaerosolization + Rewarming,1,2,3,Cell Viability Data,Low CPA Spray Rewarm_10X_0003_GFP,F35,59.3112244897959,"Cryoaerosolization group in source workbook"
